"","young","mid","old"
"M-1",0.00600869736712221,0.00719844779042049,0.010155405321118
"M-2",0.0226516272001395,0.019807399157672,0.0298305261919357
"M-3",0.0221282521656104,0.0213499238210965,0.0261627932449997
"M-4",-4.27141767052312e-06,-5.00503352376029e-06,-5.0762005240127e-06
"M-5",2.14450359343071e-05,1.68609587680403e-05,2.12670334578777e-05
"M-6",0.0209210778709963,0.0223539881302152,0.0213149044650341
"M-7",-5.96272349492102e-05,-4.58940215427837e-05,-7.0267707241352e-05
"M-8",0.00673166198218435,0.00748353793407152,0.00721736982591951
"M-9",2.02502360162609e-06,2.03447469470077e-06,3.82301241568298e-06
"M-10",-1.19401585791114e-05,-7.49397567343429e-06,-1.15502530249351e-05
"M-11",-2.42606532535514e-06,-4.16761408954968e-07,-2.67073762114481e-06
"M-12",0.0212105236772724,0.0227272386788577,0.0245621362634489
"M-13",0.0114572100554222,0.0129203305593158,0.0157438584484297
"M-14",0.00703777069910778,0.00732779924363085,0.0065285194981688
"M-15",0.0154601379670645,0.0163913546385844,0.0186341947116839
"M-16",-3.69885887004586e-05,-2.49894508050254e-05,-3.23811950625253e-05
"M-17",3.40174436652108e-05,3.06505931378668e-06,2.40833246096079e-05
"M-18",0.00289559774152383,0.00344864057054391,0.00303955606554386
"M-19",9.85365642065882e-06,2.6839083854231e-06,0.000266648022477414
"M-20",0.00082122690911203,0.00105324921340144,0.000883563838935583
"M-21",1.94086012586922e-06,6.15182021144783e-05,4.44366367045807e-06
"M-22",0.0120817012619722,0.0134022736317152,0.0134431212318657
"M-23",-8.68012953665031e-07,-8.22082415116361e-07,-6.92011302946752e-07
"M-24",0.00515231139215484,0.00575510770110838,0.00596917008846385
"M-25",0.0026548203154747,0.00379557600167066,0.00309854193565279
"M-26",-1.60095377875876e-07,-1.07865711650606e-07,-1.1275175458116e-07
"M-27",0.000476676638395669,0.000684740634825609,0.000478161624244931
"M-28",0.0101526370379055,0.0130836082576785,0.0144181680310523
"M-29",0.0413388462182091,0.0401027142939866,0.0406274941799072
"M-30",0.0105183980596521,0.0142253826029447,0.0148475254836707
"M-31",-2.43267193813859e-05,-2.68109867214862e-05,-3.83300424908768e-05
"M-32",7.97996737059142e-08,7.64384008531654e-07,2.14966875910739e-08
"M-33",0.0005815377443603,0.0011221171084765,0.00431000026580699
"M-34",8.69256261002689e-06,2.66445603134173e-06,1.87330726150662e-06
"M-35",0.00422859997752073,0.0050839890405431,0.00509484476657656
"M-36",0.00160806794767632,0.00138716899695264,0.00159406804107701
"M-37",0.0277904608340997,0.028034495803459,0.0260394195026135
"M-38",-6.05140554623472e-07,-5.79133469065465e-07,-5.46594028763482e-07
"M-39",0.00049742972517122,0.000587776557325698,0.000440718689498002
"M-40",2.19456266333413e-05,4.65718288423594e-05,2.59034970245737e-05
"M-41",0.0108123767210964,0.00950885025603516,0.00780537428577623
"M-42",0.000100787548562553,0.000301666879222614,0.000114197537673971
"M-43",0.00528616343724673,0.00554035824806475,0.00509814530988328
"M-44",0.016206299045682,0.0136893104223519,0.0065094457659182
