"","young","mid","old"
"M-1",0.00522724774115415,0.00796544956067844,0.0109098328912192
"M-2",0.0189695603356615,0.0159716621727424,0.0279549933877355
"M-3",0.0170371918687293,0.0162459584568617,0.023126886147927
"M-4",-8.13858847908656e-06,-9.62322023300121e-06,-8.53663212996038e-06
"M-5",1.90912826338217e-05,1.62502488107253e-05,1.96114775313797e-05
"M-6",0.013915158751017,0.014697409035942,0.016742371630284
"M-7",-0.000106371738645842,-9.08950591159704e-05,-9.41633972730426e-05
"M-8",0.00678385791294792,0.00746356820153443,0.007189475315201
"M-9",1.62118465109684e-06,1.72694668068602e-06,3.72985529018501e-06
"M-10",-1.91627317979069e-05,-1.70165366471277e-05,-1.25858250848607e-05
"M-11",-3.74118602534795e-06,-2.26972826838204e-06,-3.18530922886939e-06
"M-12",0.0211192927861897,0.0219299553120227,0.0241132092602817
"M-13",0.00915433754861906,0.00959648387066887,0.014659000260655
"M-14",0.00703114942851225,0.00725756217443676,0.00639552137623867
"M-15",0.0155083186526941,0.0163184609713853,0.0185400883450013
"M-16",-1.89282672253395e-05,-1.83715182214492e-05,-1.06504081038864e-05
"M-17",-5.30174854269084e-06,-4.99836399435477e-06,-2.73028557086889e-06
"M-18",0.00286204925733202,0.00333556778000297,0.0029976780206412
"M-19",-7.0039457533376e-06,-6.49703560171672e-06,-3.02955800378216e-06
"M-20",0.000828087388014332,0.00105360034380556,0.000844086784145768
"M-21",9.40644560795348e-07,4.0172019375911e-05,2.11229784484409e-06
"M-22",0.0118316533617409,0.0130011353700547,0.0126616253996796
"M-23",-8.53018218855511e-07,-8.95172215283714e-07,-6.36100891300149e-07
"M-24",0.00476413328864343,0.0053756600231503,0.00573033124865146
"M-25",0.00286435180739629,0.00385497137882039,0.00311753934956349
"M-26",-3.19963077889801e-07,-2.51284404881094e-07,-1.44346315758156e-07
"M-27",0.000488949305949668,0.00068883679822715,0.00041933884180019
"M-28",0.00804132978033126,0.00999321246421281,0.0116760049079344
"M-29",0.031254393768735,0.0307954057153826,0.0354990991094004
"M-30",0.0070257168486949,0.00899993797855125,0.0119337376051088
"M-31",-8.95209208101944e-05,-8.9155683842227e-05,-7.66889004364125e-05
"M-32",8.57994688350358e-08,7.09886340585908e-07,1.60289344788418e-08
"M-33",0.000639326934035067,0.00105279705726904,0.00407822499884963
"M-34",1.08300891202229e-05,3.08982999985516e-06,2.63382949952888e-06
"M-35",0.00473130980108328,0.00552816454379869,0.00534143837818131
"M-36",0.00159171732780045,0.00139678708429867,0.00171080582025998
"M-37",0.027265343828932,0.0265887465383159,0.0246476670602223
"M-38",-1.11261969403501e-06,-1.19886207886073e-06,-9.67924698973668e-07
"M-39",0.000489739918459187,0.000563470828581981,0.000409893975946179
"M-40",2.2034495954126e-05,4.47768839551426e-05,2.26424572209425e-05
"M-41",0.00879073753860334,0.00931726580356431,0.00645138564627565
"M-42",0.000104099188289898,0.000239151867645973,0.000106030037727263
"M-43",0.00531832937940408,0.00558139476677487,0.00499275312988087
"M-44",0.0118715095843704,0.0123373524437694,0.00900216804751638
"M-45",-1.02343246549552e-06,-1.08078127202977e-06,-5.76603553236446e-07
"M-46",3.59783161218393e-09,5.19814871879323e-08,2.05519134259513e-07
"M-47",0.00213284258747974,0.00397064439362329,0.00223669162001993
"M-48",0.0260698708569854,0.0251528933001787,0.0283841062582302
"M-49",0.000442934215364043,0.000237852935136244,0.000151332437552555
"M-50",5.89577383870133e-05,0.000217002944326216,0.000111619718767292
"M-51",0.00455191857947821,0.00385336175710392,0.00455705077797537
"M-52",4.11321896804409e-05,7.93146215147598e-05,5.59773190750559e-05
"M-53",0.00803514910301992,0.00872081956405428,0.00766379382056379
"M-54",0.00207579659648179,0.00284645114683197,0.00233904239356708
"M-55",-5.2777563693978e-05,-8.28801854937179e-05,-9.25010994610692e-05
"M-56",-5.2887270816938e-06,-8.56283212401657e-06,-5.67549322366541e-06
"M-57",0.0153688393463243,0.0152698057889646,0.020202315084488
"M-58",0.00876098599114336,0.00300805947601925,1.42768554472273e-05
"M-59",4.06073201177527e-11,1.44202896371511e-10,1.16415319993224e-10
"M-60",0.00886451390631187,0.0093224306101799,0.0079058746436648
"M-61",-4.86137503122118e-10,7.2514902233064e-07,4.00221127070372e-08
"M-62",0.00303134609196746,0.00326971313478385,0.00338570762325747
"M-63",0.000123496702169931,0.000242474250466409,0.00013830076457979
"M-64",6.08491185566099e-06,7.78550817451087e-06,6.63080726679825e-06
"M-65",0.000478366236522499,0.000710896166321163,0.000627174532397745
"M-66",9.47887601831658e-09,6.19984708454979e-09,5.97059394448731e-08
"M-67",0.00320487399586744,0.0046223762673618,0.00274329235694007
"M-68",6.6022324478471e-08,4.34771320546517e-06,1.83863242981503e-07
"M-69",1.86014088405479e-05,5.06507782151126e-05,1.97431058763298e-05
"M-70",0.00240000061172411,0.00254307907501099,0.00242216556860952
"M-71",0.00148830221517257,0.000113914002561175,0.000485206338623611
"M-72",8.64209243474247e-05,0.00014629792155025,8.26770900772743e-05
"M-73",9.93906196111497e-06,0.000280999715410609,1.96692123617223e-05
"M-74",0.00673192793941878,0.00734331134023175,0.00712326782747881
"M-75",0.00280640470574697,0.00322915598593278,0.00295988868846516
"M-76",6.66623752604379e-06,6.80839883435785e-06,7.62316069136397e-06
"M-77",3.15769468737955e-05,5.20869637043219e-05,3.33481220750661e-05
